Lat	Long	CentroidSize	LogCentroidSize	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	APE	AAE	AWB
-49.22	-67.77	20.597605	3.025175	94	107	47	4462	219	-8	227	38	97	148	37	243	29	15	22	81	46	63	70	683	0	0
-27.63	-67.05	18.575577	2.921848	172	166	53	5296	316	3	313	227	104	235	102	163	43	2	106	110	7	106	8	1269	257	-1246
-54.53	-66.3	22.174213	3.098930	55	80	50	2988	141	-17	158	89	37	93	16	437	47	24	21	131	79	130	96	305	340	296
-41.17	-71.2	22.158725	3.098231	75	119	50	4391	212	-24	236	28	132	132	19	764	130	21	65	376	72	72	361	798	699	1304
-49.57	-68.62	24.082211	3.181473	92	108	47	4651	213	-15	228	33	98	147	30	200	26	10	23	63	37	53	52	331	195	-153
-41.17	-71.2	20.751998	3.032643	75	119	50	4391	212	-24	236	28	132	132	19	764	130	21	65	376	72	72	361	798	699	1304
-27.63	-67.05	21.214196	3.054671	172	166	53	5296	316	3	313	227	104	235	102	163	43	2	106	110	7	106	8	1269	257	-1246
-49.22	-67.77	20.258808	3.008590	94	107	47	4462	219	-8	227	38	97	148	37	243	29	15	22	81	46	63	70	683	0	0
-45.71	-68.33	20.552986	3.023006	98	111	46	4735	229	-8	237	41	157	157	36	160	22	8	33	60	26	26	53	460	197	-240
-46	-69.55	21.153099	3.051786	104	112	46	4956	236	-7	243	45	166	166	39	169	20	9	28	57	29	29	50	466	257	-178
-46	-69.55	20.725088	3.031345	104	112	46	4956	236	-7	243	45	166	166	39	169	20	9	28	57	29	29	50	466	257	-178
-46	-69.55	21.556239	3.070665	104	112	46	4956	236	-7	243	45	166	166	39	169	20	9	28	57	29	29	50	466	257	-178
-46	-69.55	21.940264	3.088323	104	112	46	4956	236	-7	243	45	166	166	39	169	20	9	28	57	29	29	50	466	257	-178
-46	-69.55	21.111090	3.049798	104	112	46	4956	236	-7	243	45	166	166	39	169	20	9	28	57	29	29	50	466	257	-178
-45.69	-70.35	21.025432	3.045733	95	108	46	4750	220	-14	234	37	144	154	32	199	26	8	36	75	29	29	66	456	242	-161
-43.98	-70.19	19.905232	2.990983	66	122	49	4664	204	-43	247	33	114	125	5	145	21	4	40	55	17	20	53	482	133	-238
-43.98	-70.19	20.802397	3.035068	66	122	49	4664	204	-43	247	33	114	125	5	145	21	4	40	55	17	20	53	482	133	-238
-43.98	-70.19	20.935663	3.041454	66	122	49	4664	204	-43	247	33	114	125	5	145	21	4	40	55	17	20	53	482	133	-238
-43.98	-70.19	22.411575	3.109578	66	122	49	4664	204	-43	247	33	114	125	5	145	21	4	40	55	17	20	53	482	133	-238
-43.98	-70.19	21.502178	3.068154	66	122	49	4664	204	-43	247	33	114	125	5	145	21	4	40	55	17	20	53	482	133	-238
